name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7535,7764,0,877,410,3,2,77,72,1.0,1.0,2,16,16,52.38939,4.90773,18,0,4,1.0,2.0,4.0,39,125.0,2,60,0,0,0,14,14,28,4,0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1,1,0,0,0.47
17958,9680,0,1202,3153,1,49,98,49,3.0,3.0,0,7,7,52.36722,4.87364,27,2,2,1.0,1.0,1.0,4,70.0,2,1125,0,0,0,0,0,2,0,0,90.0,9.0,10.0,9.0,10.0,10.0,9.0,3,0,3,0,0.03
13596,11719,0,1705,8748,1,49,98,79,1.0,1.0,2,4,4,52.36179,4.90689,7,0,2,1.0,1.0,1.0,8,80.0,3,1125,0,0,0,0,0,5,0,0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.08
755,8290,2,1705,8748,1,49,98,49,1.0,1.0,0,7,7,52.37208,4.87029,7,0,2,1.0,1.0,1.0,8,109.0,2,1125,0,0,0,0,0,8,0,0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.13
17544,3196,0,1462,1003,1,49,98,4,1.0,1.0,2,2,2,52.37635,4.84742,7,0,2,1.0,1.0,1.0,15,65.0,3,6,0,0,0,0,0,10,0,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.17
3596,1580,0,972,8748,1,49,98,24,1.0,1.0,2,20,20,52.38043,4.87871,7,0,2,1.0,1.0,1.0,6,89.0,2,5,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
1596,7178,0,1657,8748,1,49,98,54,1.0,1.0,0,8,8,52.34047,4.90838,7,0,2,1.0,1.0,1.0,8,115.0,2,1125,0,0,0,0,0,1,0,0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,1,0,0,0.02
16344,5338,1,839,8748,1,49,2,49,2.0,2.0,2,7,7,52.36107,4.85109,7,0,2,1.0,1.0,1.0,11,71.0,4,1125,0,0,0,0,0,13,0,0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0,0,0.22
9902,8283,2,920,2786,1,49,0,79,1.0,1.0,2,20,20,52.38329,4.872,7,0,2,1.5,1.0,1.0,28,115.0,3,3,0,0,0,0,251,48,0,0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.83
16788,7799,3,870,7708,4,30,82,46,41.0,41.0,2,7,7,52.36633,4.8659300000000005,12,0,2,1.0,1.0,1.0,13,167.0,2,1125,0,0,0,0,182,38,0,0,91.0,9.0,9.0,9.0,10.0,10.0,9.0,39,35,1,0,0.64
