listing_id,avg_sentiment_score,proportion_positive
2595,0.7959558139534882,0.9069767441860465
3831,0.8040081632653067,0.9625850340136054
5121,0.8885187499999998,1.0
5136,0.9965,1.0
5178,0.7650139037433147,0.9518716577540107
5203,0.9390324786324784,0.9914529914529915
5238,0.9173678321678317,0.993006993006993
5552,0.9166530303030302,0.9696969696969697
5803,0.9417456790123463,1.0
6021,0.856531304347826,0.9739130434782609
6848,0.8501611111111109,0.9691358024691358
6990,0.933139906103286,0.9953051643192489
7097,0.887107623318386,0.9865470852017937
7801,0.9503888888888888,1.0
8490,0.8912011494252869,0.9885057471264368
8505,0.8322000000000003,0.9545454545454546
9657,0.8255225806451613,0.9032258064516129
9704,0.8974100000000004,0.9625
10452,0.8473075757575756,0.9393939393939394
10962,0.9170774193548387,0.9870967741935484
12048,0.8806563106796113,0.9854368932038835
12192,0.8391016666666666,0.9708333333333333
12343,0.8364837209302324,0.9186046511627907
12627,0.8191583333333332,0.9166666666666666
12937,0.8948449999999997,0.9666666666666667
12940,0.8353516129032258,0.967741935483871
13050,0.8689374999999999,1.0
13121,0.8188290322580642,0.9516129032258065
13267,0.9315485714285714,0.9714285714285714
13394,0.9142325581395353,0.9767441860465116
13677,0.9332985507246379,0.9855072463768116
13808,0.9057613445378148,0.9915966386554622
14290,0.8358566666666667,0.9666666666666667
14314,0.8797577380952384,0.9940476190476191
14322,0.7173571428571428,0.8571428571428571
14991,0.8660357142857144,0.9285714285714286
15220,0.8179701030927838,0.9587628865979382
15341,0.7981041666666666,0.9166666666666666
15385,0.8992565217391302,0.9782608695652174
15396,0.9740800000000001,1.0
15711,0.8043457142857147,0.9428571428571428
15962,0.9244749999999997,0.9791666666666666
16326,0.949411009174312,1.0
16338,0.9115481481481481,0.9629629629629629
16458,0.95055,1.0
16580,0.871692388451443,0.9868766404199475
16595,0.8131952662721894,0.9289940828402367
16821,0.8375810810810813,0.9819819819819819
16974,0.9145434782608698,0.9826086956521739
17037,0.9663562499999997,1.0
17092,0.7963521739130435,0.9130434782608695
17693,0.8971374999999997,1.0
17747,0.8963875,0.9833333333333333
18127,0.9322999999999999,1.0
18195,0.9537681818181819,1.0
18198,0.968296153846154,1.0
18728,0.9274033707865171,0.9887640449438202
18764,0.8741767857142858,0.9642857142857143
18961,0.9747,1.0
19159,0.8952300000000002,0.96
19169,0.8116914285714288,0.9428571428571428
19282,0.80020625,0.875
19601,0.839175,0.9166666666666666
19812,0.8313947368421055,0.9298245614035088
20300,0.9775499999999999,1.0
20611,0.8795208588957056,0.9754601226993865
20717,0.886825641025641,0.9743589743589743
20724,0.7610071428571429,0.9285714285714286
20755,0.7874421052631579,0.8421052631578947
20913,0.7481371069182389,0.9056603773584906
21456,0.8366157894736842,0.9210526315789473
21644,0.9117666666666667,1.0
21794,0.9410323529411765,1.0
23135,0.8525454183266923,0.9641434262948207
23545,0.8248612499999999,0.95
23686,0.8490826086956523,0.9565217391304348
24143,0.9330573099415213,0.9970760233918129
24285,0.8418893333333332,0.92
25235,0.8061421768707481,0.9047619047619048
25406,0.9387714285714284,1.0
25696,0.8905631901840485,0.9754601226993865
26012,0.9009736842105261,0.9473684210526315
26362,0.8240210031347964,0.9498432601880877
26520,0.8486689655172414,0.9655172413793104
26559,0.9652200000000001,1.0
26785,0.9264067567567565,0.9932432432432432
26969,0.8999526666666658,0.9866666666666667
27006,0.44251923076923083,0.5
27644,0.8606106951871663,0.9732620320855615
