name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5804,4237,0,1336,890,1,56,67,138,1.0,1.0,2,6,6,22.53266,114.12106999999999,67,3,10,1.0,1.0,10.0,10,83.0,1,28,0,30,60,90,180,0,0,0,,,,,,,,1,0,0,1,
6855,4768,0,1345,908,4,1,1,138,2.0,2.0,2,17,17,22.42751,114.0108,17,0,9,5.5,5.0,5.0,28,5000.0,3,90,0,28,53,78,168,5,5,3,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,1.69
1377,3096,0,604,304,4,1,59,107,24.0,24.0,2,16,16,22.30707,114.16705,5,0,2,1.5,,1.0,19,354.0,1,28,0,25,54,73,73,28,21,1,91.0,10.0,9.0,9.0,10.0,9.0,9.0,24,24,0,0,2.18
6128,4317,0,395,843,4,23,1,136,27.0,27.0,2,16,16,22.2982,114.17121999999999,23,2,2,1.0,1.0,1.0,9,440.0,1,199,0,30,60,90,90,1,1,0,60.0,2.0,6.0,6.0,8.0,10.0,8.0,14,0,14,0,0.17
5409,3085,0,604,304,4,1,59,107,24.0,24.0,2,16,16,22.30761,114.16725,5,0,2,1.5,,1.0,16,370.0,1,28,0,24,53,72,72,52,51,2,92.0,9.0,9.0,9.0,9.0,9.0,9.0,24,24,0,0,4.01
3536,2324,0,1345,890,1,56,67,116,0.0,0.0,2,11,11,22.45143,114.15947,28,2,2,1.5,1.0,1.0,25,800.0,1,1125,0,0,0,22,22,1,0,0,,,,,,,,1,0,1,0,0.08
1564,4121,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28087,114.15064,23,2,1,1.0,1.0,1.0,5,137.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
1417,3931,0,683,839,3,51,44,124,230.0,230.0,2,14,14,22.28036,114.18333,23,2,1,1.0,,1.0,1,215.0,29,1125,0,0,0,0,0,0,0,0,,,,,,,,124,5,112,7,
1469,4054,0,683,839,3,51,44,124,230.0,230.0,2,14,14,22.27958,114.18205,23,2,1,1.0,,1.0,6,293.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
5776,4842,0,395,843,4,23,1,136,27.0,27.0,2,16,16,22.297620000000002,114.17294,23,2,2,1.0,1.0,1.0,9,538.0,1,199,0,30,60,90,90,0,0,0,,,,,,,,14,0,14,0,
1060,4621,0,1273,775,4,1,1,107,4.0,4.0,0,16,16,22.308670000000003,114.16672,23,2,2,1.0,1.0,1.0,11,246.0,1,366,0,0,0,30,305,2,2,0,70.0,9.0,7.0,9.0,9.0,9.0,8.0,5,4,1,0,0.19
3588,45,1,158,272,4,1,35,28,23.0,23.0,2,14,14,22.27831,114.19247,5,0,3,1.0,1.0,1.0,16,1000.0,28,1125,0,18,48,78,353,0,0,0,,,,,,,,31,31,0,0,
629,148,1,1267,890,2,1,1,10,18.0,18.0,2,14,14,22.28055,114.18258999999999,33,2,2,1.0,1.0,1.0,2,191.0,28,1125,0,0,0,22,297,0,0,0,,,,,,,,24,1,23,0,
3547,3095,0,604,304,4,1,59,107,24.0,24.0,2,16,16,22.30695,114.1671,5,0,3,1.0,,2.0,14,340.0,1,28,0,22,37,56,56,27,26,3,89.0,10.0,9.0,10.0,9.0,9.0,9.0,24,24,0,0,2.06
4292,3084,0,604,304,4,1,59,107,24.0,24.0,2,16,16,22.3067,114.16596000000001,5,0,3,1.0,,2.0,14,300.0,1,28,0,27,56,75,75,22,17,0,92.0,9.0,9.0,10.0,9.0,10.0,9.0,24,24,0,0,1.68
930,3003,0,560,532,4,1,47,40,15.0,15.0,0,16,16,22.30554,114.17007,5,0,15,3.0,4.0,10.0,29,1603.0,1,1125,0,29,59,89,89,2,2,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,3,0,0,2.0
5775,4842,0,395,843,4,23,1,136,27.0,27.0,2,16,16,22.29945,114.17268999999999,23,2,2,1.0,1.0,2.0,9,457.0,1,199,0,30,60,90,90,0,0,0,,,,,,,,14,0,14,0,
6626,5292,0,1345,249,2,19,66,92,3.0,3.0,2,9,9,22.3272,114.1598,5,0,2,1.0,1.0,1.0,16,314.0,1,365,0,0,0,0,0,1,1,0,60.0,8.0,8.0,2.0,6.0,6.0,6.0,5,5,0,0,0.53
3001,4641,0,592,251,3,46,52,66,28.0,28.0,2,16,16,22.30542,114.17136,49,2,2,1.0,1.0,2.0,18,200.0,1,1125,0,30,60,90,365,0,0,0,,,,,,,,28,0,24,4,
3029,1523,0,1345,249,2,19,66,92,3.0,3.0,2,9,9,22.32806,114.16136000000002,5,0,2,1.0,1.0,1.0,14,371.0,1,365,0,12,12,12,12,5,5,0,92.0,8.0,8.0,9.0,8.0,8.0,8.0,5,5,0,0,0.51
4132,3476,0,188,271,3,51,37,129,386.0,386.0,0,14,14,22.279120000000002,114.18315,23,2,1,1.0,1.0,0.0,9,216.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,387,22,337,28,
1133,2270,0,831,464,2,36,0,129,0.0,0.0,0,14,14,22.27572,114.16774,5,0,4,1.0,1.0,2.0,15,1000.0,2,21,0,27,57,87,87,0,0,0,,,,,,,,1,1,0,0,
1476,1341,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.27628,114.18283999999998,23,2,2,2.0,1.0,1.0,4,283.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
2626,2928,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.27885,114.18323000000001,23,2,2,1.0,,1.0,9,260.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
6454,4426,0,1167,911,4,1,1,138,9.0,9.0,2,6,6,22.53209,114.08652,7,0,3,1.0,1.0,2.0,26,353.0,1,1125,0,30,60,90,90,13,10,1,95.0,10.0,10.0,10.0,10.0,10.0,9.0,6,6,0,0,1.0
4388,846,0,623,890,2,44,50,138,1.0,1.0,0,1,1,22.29139,114.20111999999999,57,3,3,1.0,1.0,2.0,22,85.0,1,365,0,30,60,90,365,1,1,0,100.0,2.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0.1
6423,4924,0,390,890,4,49,61,66,81.0,81.0,2,16,16,22.31628,114.16856999999999,28,2,2,1.0,,2.0,7,163.0,14,60,0,23,53,83,83,2,2,0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,113,0,105,0,0.27
6084,5088,0,485,1031,4,46,64,138,13.0,13.0,2,17,17,22.51677,114.06871000000001,7,0,3,1.5,1.0,2.0,22,345.0,1,93,0,30,54,83,358,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,8,3,5,0,0.23
570,4050,0,297,821,2,19,35,40,9.0,9.0,2,16,16,22.30584,114.17298000000001,28,2,2,1.0,1.0,2.0,11,300.0,1,1125,0,30,60,90,365,0,0,0,,,,,,,,8,0,8,0,
6606,5090,0,1276,1011,4,47,54,138,46.0,46.0,2,6,6,22.53966,114.09596,5,0,2,1.0,1.0,1.0,13,312.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,3,3,0,0,
572,1676,1,475,890,3,36,62,22,0.0,0.0,2,2,2,22.29421,114.02346000000001,5,0,6,1.0,3.0,4.0,17,1423.0,3,20,0,23,53,83,83,8,8,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.68
6605,5089,0,1276,1011,4,47,54,138,46.0,46.0,2,6,6,22.53908,114.0965,5,0,2,1.0,1.0,1.0,13,312.0,1,1125,0,30,60,90,365,0,0,0,,,,,,,,3,3,0,0,
6580,5077,0,1261,890,4,46,1,138,2.0,2.0,2,17,17,22.51031,114.06173999999999,7,0,2,1.0,1.0,1.0,22,658.0,1,1125,0,30,60,90,180,3,3,0,100.0,9.0,9.0,10.0,10.0,9.0,10.0,2,2,0,0,0.31
1876,2223,0,549,113,3,23,1,78,2.0,2.0,2,1,1,22.2885,114.21243,28,2,1,1.5,2.0,1.0,52,280.0,1,1125,0,16,46,76,166,3,2,0,100.0,10.0,8.0,9.0,10.0,10.0,9.0,2,0,2,0,0.23
5966,4050,0,1135,890,4,1,67,63,2.0,2.0,2,8,8,22.42481,114.23863999999999,57,3,2,1.0,1.0,2.0,14,280.0,10,365,0,29,59,89,89,0,0,0,,,,,,,,2,0,0,2,
6036,4883,0,390,890,4,49,61,66,81.0,81.0,2,16,16,22.31585,114.16899,28,2,2,1.0,,1.0,8,498.0,7,1125,0,30,60,90,365,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,113,0,105,0,0.14
6243,5201,0,390,890,4,49,61,66,81.0,81.0,2,16,16,22.31733,114.17053999999999,28,2,3,1.0,1.0,2.0,4,399.0,7,1125,0,30,60,90,365,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,113,0,105,0,0.13
1961,1158,0,131,867,0,15,0,66,6.0,6.0,0,16,16,22.31888,114.17228,5,0,2,1.0,1.0,1.0,4,310.0,28,1125,0,30,60,90,365,0,0,0,,,,,,,,6,6,0,0,
1565,4120,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28256,114.15222,23,2,1,1.0,1.0,1.0,5,135.0,29,1125,0,13,13,13,287,0,0,0,,,,,,,,124,5,112,7,
3476,4120,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28099,114.15276000000001,23,2,1,1.0,1.0,1.0,5,196.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
4112,4120,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28135,114.15123999999999,23,2,1,1.0,1.0,1.0,5,206.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
5739,4430,0,1167,911,4,1,1,138,9.0,9.0,2,6,6,22.53217,114.08618,7,0,3,1.0,1.0,1.0,24,381.0,1,1125,0,29,59,89,89,5,2,0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,6,6,0,0,0.39
3578,614,0,1347,890,2,25,32,122,0.0,0.0,0,9,9,22.326610000000002,114.16398000000001,5,0,1,1.0,1.0,1.0,17,248.0,14,1125,0,8,38,68,343,3,3,0,87.0,9.0,10.0,10.0,9.0,10.0,9.0,5,5,0,0,0.26
4735,4052,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28458,114.15356000000001,23,2,1,1.0,,1.0,4,200.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
6910,4586,0,1268,998,2,30,1,138,3.0,3.0,2,13,13,22.366870000000002,113.99542,23,2,2,1.0,1.0,1.0,13,314.0,28,1125,0,29,59,89,364,0,0,0,,,,,,,,2,0,2,0,
5927,4050,0,1229,890,1,56,1,138,1.0,1.0,2,6,6,22.5396,114.09602,5,0,4,0.5,1.0,2.0,25,345.0,1,1125,0,30,60,90,365,2,1,0,90.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0,0,0.16
1554,291,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28394,114.15268,23,2,2,1.0,1.0,1.0,5,293.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
1425,4051,0,683,839,3,51,44,124,230.0,230.0,2,14,14,22.2781,114.18166000000001,23,2,2,2.0,1.0,1.0,9,150.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
5388,3498,0,797,749,4,1,1,99,6.0,6.0,2,0,0,22.28451,114.15353999999999,55,1,1,2.0,1.0,1.0,14,250.0,28,1125,0,29,59,89,364,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,8,0,1,1,0.09
3637,1289,0,787,837,3,1,47,11,369.0,369.0,0,0,0,22.28146,114.15121,23,2,1,1.0,1.0,1.0,4,196.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
601,1290,0,787,837,3,1,47,11,369.0,369.0,0,0,0,22.28126,114.1511,23,2,2,1.0,1.0,1.0,4,196.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
1552,1290,0,787,837,3,1,47,11,369.0,369.0,0,0,0,22.28236,114.1527,23,2,2,1.0,1.0,1.0,4,256.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
4396,1290,0,787,837,3,1,47,11,369.0,369.0,0,0,0,22.28213,114.15228,23,2,2,1.0,1.0,1.0,4,210.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
5777,4309,0,395,843,4,23,1,136,27.0,27.0,2,16,16,22.30733,114.17217,23,2,1,1.0,1.0,1.0,8,290.0,1,999,0,30,60,90,90,0,0,0,,,,,,,,14,0,14,0,
5774,4841,0,395,843,4,23,1,136,27.0,27.0,2,16,16,22.29746,114.1713,23,2,2,1.0,1.0,1.0,9,382.0,1,199,0,30,60,90,90,0,0,0,,,,,,,,14,0,14,0,
5745,4343,0,236,832,2,1,67,66,4.0,4.0,2,16,16,22.31246,114.16877,9,0,2,1.0,1.0,1.0,9,330.0,28,1125,0,28,58,88,363,0,0,0,,,,,,,,7,3,4,0,
4827,421,0,1348,1004,4,1,59,56,0.0,0.0,2,2,2,22.22553,114.11052,6,0,3,1.0,2.0,2.0,11,588.0,30,90,0,26,26,26,26,0,0,0,,,,,,,,2,2,0,0,
2615,2767,0,1348,1004,4,1,59,56,0.0,0.0,2,2,2,22.22583,114.11215,5,0,3,1.0,2.0,2.0,11,705.0,4,30,0,1,1,28,28,3,3,0,93.0,10.0,9.0,10.0,9.0,10.0,10.0,2,2,0,0,0.44
1279,4050,0,642,142,1,56,67,138,1.0,1.0,2,0,0,22.28351,114.14511999999999,23,2,2,1.0,1.0,1.0,5,620.0,2,1125,0,23,53,83,83,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.08
1489,2203,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.277479999999997,114.17858000000001,23,2,2,1.0,1.0,1.0,8,200.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
5755,5228,0,395,843,4,23,1,136,27.0,27.0,2,5,5,22.313470000000002,114.22795,23,2,4,1.0,1.0,3.0,8,649.0,1,199,0,29,59,89,89,0,0,0,,,,,,,,14,0,14,0,
5756,5228,0,395,843,4,23,1,136,27.0,27.0,2,5,5,22.313489999999998,114.22731999999999,23,2,3,1.0,1.0,0.0,8,533.0,1,199,0,29,59,89,89,0,0,0,,,,,,,,14,0,14,0,
5754,5228,0,395,843,4,23,1,136,27.0,27.0,2,5,5,22.31485,114.22686000000002,23,2,2,1.0,1.0,0.0,8,440.0,1,199,0,29,59,89,89,0,0,0,,,,,,,,14,0,14,0,
3629,907,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.27974,114.17821,23,2,1,1.0,1.0,1.0,4,215.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
5539,3415,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.27676,114.17848000000001,23,2,1,1.0,1.0,1.0,10,250.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
4464,2821,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.278170000000003,114.17846999999999,23,2,1,1.0,1.0,1.0,4,260.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
5519,2697,0,787,837,3,1,47,11,369.0,369.0,0,9,9,22.329710000000002,114.15754,23,2,2,1.0,1.0,1.0,8,283.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
4440,2804,0,787,837,3,1,47,11,369.0,369.0,0,0,0,22.28598,114.15276000000001,23,2,2,1.0,1.0,1.0,4,250.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
2178,2421,0,787,837,3,1,47,11,369.0,369.0,0,16,16,22.31352,114.16996999999999,23,2,2,1.0,,1.0,6,250.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
